path,quality,fruit,source,label
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120450.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120455.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120459.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120507.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120511.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120516.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120522.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120605.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120615.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120623.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120639.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120648.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120656.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120702.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120724.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120728.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120755.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120758.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120801.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120806.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120811.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120851.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120854.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120904.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120913.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120925.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120936.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_120940.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121006.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121009.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121012.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121016.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121024.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121033.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121038.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121119.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121122.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121124.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121127.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121133.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121138.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121146.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121201.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121203.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121206.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121208.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121214.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121217.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121220.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121227.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121235.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121238.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121335.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121338.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121341.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121348.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121408.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121416.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121420.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121423.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121433.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121441.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121457.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121501.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121519.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121543.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121548.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121612.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121616.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121620.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121624.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121702.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121706.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121712.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121739.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121742.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121745.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121750.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121759.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121801.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121806.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121843.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121851.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121854.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121903.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121908.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121913.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121931.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121937.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121950.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_121955.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122003.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122017.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122021.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122027.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122033.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122041.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122047.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122051.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122055.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122135.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122137.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122140.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122156.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122159.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122202.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122206.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122218.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122229.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122233.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122237.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122244.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122327.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122332.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122336.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122340.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122407.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122409.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122412.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122415.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122418.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122425.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122428.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122431.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122433.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122435.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122513.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122535.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122538.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122638.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122642.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122651.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122705.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122708.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122710.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122714.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122727.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122734.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122743.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122752.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122802.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122806.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122812.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122814.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_122820.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150520.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150524.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150529.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150534.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150538.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150547.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150554.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150606.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150611.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150615.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150621.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150645.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150712.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150718.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150735.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150738.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150742.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150758.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150913.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150921.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150928.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150940.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150952.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_150957.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_151014.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_151017.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_151025.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_151031.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_151052.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_151056.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153244.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153301.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153319.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153322.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153325.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153328.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153335.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153344.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153348.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153355.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153420.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153423.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153425.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153429.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153433.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153437.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153441.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153444.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153448.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153451.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153507.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153510.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153529.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153543.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153558.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153601.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153604.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153608.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153632.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153635.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153640.jpg,Premium,Apple,Kaggle,0
..\..\data\external\Good Quality_Fruits\Apple_Good\20190809_153646.jpg,Premium,Apple,Kaggle,0
